,Year,Period,State,Loss Reason,Lost Colonies,Timeline
224,2019,Q1,MO,CCD,340,2019 Q1
135,2019,Q1,KS,DEADOUT,1500,2019 Q1
134,2019,Q1,KS,CCD,430,2019 Q1
315,2019,Q1,OK,DEADOUT,50,2019 Q1
324,2019,Q1,OR,CCD,2300,2019 Q1
125,2019,Q1,IA,DEADOUT,1600,2019 Q1
124,2019,Q1,IA,CCD,270,2019 Q1
325,2019,Q1,OR,DEADOUT,7500,2019 Q1
342,2019,Q1,PA,CCD,1200,2019 Q1
115,2019,Q1,IN,DEADOUT,710,2019 Q1
114,2019,Q1,IN,CCD,150,2019 Q1
343,2019,Q1,PA,DEADOUT,2900,2019 Q1
352,2019,Q1,SC,CCD,110,2019 Q1
105,2019,Q1,IL,DEADOUT,2300,2019 Q1
314,2019,Q1,OK,CCD,10,2019 Q1
104,2019,Q1,IL,CCD,530,2019 Q1
362,2019,Q1,SD,CCD,2400,2019 Q1
95,2019,Q1,ID,DEADOUT,12500,2019 Q1
94,2019,Q1,ID,CCD,3700,2019 Q1
363,2019,Q1,SD,DEADOUT,1100,2019 Q1
372,2019,Q1,TN,CCD,320,2019 Q1
85,2019,Q1,HI,DEADOUT,390,2019 Q1
84,2019,Q1,HI,CCD,80,2019 Q1
373,2019,Q1,TN,DEADOUT,1500,2019 Q1
382,2019,Q1,TX,CCD,600,2019 Q1
75,2019,Q1,GA,DEADOUT,14500,2019 Q1
74,2019,Q1,GA,CCD,2300,2019 Q1
383,2019,Q1,TX,DEADOUT,17000,2019 Q1
392,2019,Q1,UT,CCD,3200,2019 Q1
353,2019,Q1,SC,DEADOUT,690,2019 Q1
305,2019,Q1,OH,DEADOUT,3500,2019 Q1
144,2019,Q1,KY,CCD,70,2019 Q1
145,2019,Q1,KY,DEADOUT,890,2019 Q1
234,2019,Q1,MT,CCD,620,2019 Q1
215,2019,Q1,MS,DEADOUT,2400,2019 Q1
214,2019,Q1,MS,CCD,160,2019 Q1
235,2019,Q1,MT,DEADOUT,3500,2019 Q1
244,2019,Q1,NE,CCD,1500,2019 Q1
205,2019,Q1,MN,DEADOUT,2200,2019 Q1
204,2019,Q1,MN,CCD,1900,2019 Q1
245,2019,Q1,NE,DEADOUT,2500,2019 Q1
254,2019,Q1,NJ,CCD,0,2019 Q1
195,2019,Q1,MI,DEADOUT,6500,2019 Q1
194,2019,Q1,MI,CCD,3300,2019 Q1
255,2019,Q1,NJ,DEADOUT,310,2019 Q1
264,2019,Q1,NM,CCD,0,2019 Q1
185,2019,Q1,MA,DEADOUT,680,2019 Q1
184,2019,Q1,MA,CCD,50,2019 Q1
265,2019,Q1,NM,DEADOUT,170,2019 Q1
274,2019,Q1,NY,CCD,750,2019 Q1
175,2019,Q1,MD,DEADOUT,2300,2019 Q1
174,2019,Q1,MD,CCD,50,2019 Q1
275,2019,Q1,NY,DEADOUT,3400,2019 Q1
284,2019,Q1,NC,CCD,350,2019 Q1
165,2019,Q1,ME,DEADOUT,470,2019 Q1
164,2019,Q1,ME,CCD,10,2019 Q1
285,2019,Q1,NC,DEADOUT,1700,2019 Q1
294,2019,Q1,ND,CCD,1600,2019 Q1
155,2019,Q1,LA,DEADOUT,3500,2019 Q1
154,2019,Q1,LA,CCD,550,2019 Q1
295,2019,Q1,ND,DEADOUT,1100,2019 Q1
304,2019,Q1,OH,CCD,1500,2019 Q1
65,2019,Q1,FL,DEADOUT,46000,2019 Q1
64,2019,Q1,FL,CCD,3900,2019 Q1
225,2019,Q1,MO,DEADOUT,1100,2019 Q1
423,2019,Q1,WA,DEADOUT,7000,2019 Q1
412,2019,Q1,VA,CCD,150,2019 Q1
34,2019,Q1,CA,CCD,14000,2019 Q1
44,2019,Q1,CO,CCD,1500,2019 Q1
15,2019,Q1,AZ,DEADOUT,2500,2019 Q1
14,2019,Q1,AZ,CCD,1500,2019 Q1
413,2019,Q1,VA,DEADOUT,1100,2019 Q1
433,2019,Q1,WV,DEADOUT,1300,2019 Q1
443,2019,Q1,WI,DEADOUT,3700,2019 Q1
24,2019,Q1,AR,CCD,320,2019 Q1
25,2019,Q1,AR,DEADOUT,6500,2019 Q1
403,2019,Q1,VT,DEADOUT,260,2019 Q1
442,2019,Q1,WI,CCD,800,2019 Q1
55,2019,Q1,CT,DEADOUT,270,2019 Q1
452,2019,Q1,WY,CCD,980,2019 Q1
54,2019,Q1,CT,CCD,90,2019 Q1
422,2019,Q1,WA,CCD,5500,2019 Q1
35,2019,Q1,CA,DEADOUT,235000,2019 Q1
393,2019,Q1,UT,DEADOUT,1800,2019 Q1
453,2019,Q1,WY,DEADOUT,250,2019 Q1
4,2019,Q1,AL,CCD,140,2019 Q1
432,2019,Q1,WV,CCD,530,2019 Q1
402,2019,Q1,VT,CCD,40,2019 Q1
45,2019,Q1,CO,DEADOUT,320,2019 Q1
5,2019,Q1,AL,DEADOUT,650,2019 Q1
157,2019,Q3,LA,DEADOUT,4100,2019 Q3
435,2019,Q3,WV,DEADOUT,1100,2019 Q3
27,2019,Q3,AR,DEADOUT,2100,2019 Q3
167,2019,Q3,ME,DEADOUT,1100,2019 Q3
166,2019,Q3,ME,CCD,10,2019 Q3
307,2019,Q3,OH,DEADOUT,1600,2019 Q3
434,2019,Q3,WV,CCD,290,2019 Q3
306,2019,Q3,OH,CCD,220,2019 Q3
424,2019,Q3,WA,CCD,4500,2019 Q3
296,2019,Q3,ND,CCD,7000,2019 Q3
297,2019,Q3,ND,DEADOUT,81000,2019 Q3
156,2019,Q3,LA,CCD,910,2019 Q3
147,2019,Q3,KY,DEADOUT,850,2019 Q3
286,2019,Q3,NC,CCD,300,2019 Q3
287,2019,Q3,NC,DEADOUT,2700,2019 Q3
26,2019,Q3,AR,CCD,990,2019 Q3
146,2019,Q3,KY,CCD,200,2019 Q3
394,2019,Q3,UT,CCD,950,2019 Q3
276,2019,Q3,NY,CCD,3200,2019 Q3
227,2019,Q3,MO,DEADOUT,500,2019 Q3
455,2019,Q3,WY,DEADOUT,3000,2019 Q3
217,2019,Q3,MS,DEADOUT,2900,2019 Q3
216,2019,Q3,MS,CCD,610,2019 Q3
454,2019,Q3,WY,CCD,1100,2019 Q3
236,2019,Q3,MT,CCD,1200,2019 Q3
237,2019,Q3,MT,DEADOUT,18500,2019 Q3
207,2019,Q3,MN,DEADOUT,21000,2019 Q3
206,2019,Q3,MN,CCD,2400,2019 Q3
6,2019,Q3,AL,CCD,180,2019 Q3
7,2019,Q3,AL,DEADOUT,990,2019 Q3
246,2019,Q3,NE,CCD,540,2019 Q3
277,2019,Q3,NY,DEADOUT,8500,2019 Q3
247,2019,Q3,NE,DEADOUT,3700,2019 Q3
196,2019,Q3,MI,CCD,1800,2019 Q3
445,2019,Q3,WI,DEADOUT,6500,2019 Q3
444,2019,Q3,WI,CCD,820,2019 Q3
256,2019,Q3,NJ,CCD,240,2019 Q3
257,2019,Q3,NJ,DEADOUT,680,2019 Q3
187,2019,Q3,MA,DEADOUT,1100,2019 Q3
186,2019,Q3,MA,CCD,170,2019 Q3
16,2019,Q3,AZ,CCD,770,2019 Q3
266,2019,Q3,NM,CCD,70,2019 Q3
17,2019,Q3,AZ,DEADOUT,2000,2019 Q3
177,2019,Q3,MD,DEADOUT,790,2019 Q3
176,2019,Q3,MD,CCD,50,2019 Q3
197,2019,Q3,MI,DEADOUT,11000,2019 Q3
267,2019,Q3,NM,DEADOUT,170,2019 Q3
425,2019,Q3,WA,DEADOUT,21000,2019 Q3
136,2019,Q3,KS,CCD,310,2019 Q3
106,2019,Q3,IL,CCD,100,2019 Q3
46,2019,Q3,CO,CCD,1700,2019 Q3
47,2019,Q3,CO,DEADOUT,9500,2019 Q3
354,2019,Q3,SC,CCD,80,2019 Q3
355,2019,Q3,SC,DEADOUT,2200,2019 Q3
137,2019,Q3,KS,DEADOUT,1900,2019 Q3
97,2019,Q3,ID,DEADOUT,10500,2019 Q3
96,2019,Q3,ID,CCD,1100,2019 Q3
405,2019,Q3,VT,DEADOUT,120,2019 Q3
404,2019,Q3,VT,CCD,10,2019 Q3
364,2019,Q3,SD,CCD,1200,2019 Q3
365,2019,Q3,SD,DEADOUT,51000,2019 Q3
87,2019,Q3,HI,DEADOUT,200,2019 Q3
86,2019,Q3,HI,CCD,0,2019 Q3
56,2019,Q3,CT,CCD,20,2019 Q3
374,2019,Q3,TN,CCD,140,2019 Q3
375,2019,Q3,TN,DEADOUT,4500,2019 Q3
57,2019,Q3,CT,DEADOUT,200,2019 Q3
77,2019,Q3,GA,DEADOUT,13000,2019 Q3
76,2019,Q3,GA,CCD,8500,2019 Q3
384,2019,Q3,TX,CCD,6500,2019 Q3
385,2019,Q3,TX,DEADOUT,11000,2019 Q3
395,2019,Q3,UT,DEADOUT,2800,2019 Q3
67,2019,Q3,FL,DEADOUT,20000,2019 Q3
66,2019,Q3,FL,CCD,6000,2019 Q3
107,2019,Q3,IL,DEADOUT,940,2019 Q3
226,2019,Q3,MO,CCD,20,2019 Q3
345,2019,Q3,PA,DEADOUT,980,2019 Q3
415,2019,Q3,VA,DEADOUT,570,2019 Q3
317,2019,Q3,OK,DEADOUT,930,2019 Q3
316,2019,Q3,OK,CCD,20,2019 Q3
126,2019,Q3,IA,CCD,250,2019 Q3
326,2019,Q3,OR,CCD,470,2019 Q3
117,2019,Q3,IN,DEADOUT,1000,2019 Q3
36,2019,Q3,CA,CCD,12000,2019 Q3
327,2019,Q3,OR,DEADOUT,8000,2019 Q3
116,2019,Q3,IN,CCD,90,2019 Q3
414,2019,Q3,VA,CCD,80,2019 Q3
344,2019,Q3,PA,CCD,130,2019 Q3
127,2019,Q3,IA,DEADOUT,3400,2019 Q3
37,2019,Q3,CA,DEADOUT,93000,2019 Q3
427,2019,Q4,WA,DEADOUT,12500,2019 Q4
376,2019,Q4,TN,CCD,390,2019 Q4
377,2019,Q4,TN,DEADOUT,1300,2019 Q4
319,2019,Q4,OK,DEADOUT,2500,2019 Q4
426,2019,Q4,WA,CCD,7000,2019 Q4
346,2019,Q4,PA,CCD,390,2019 Q4
397,2019,Q4,UT,DEADOUT,4400,2019 Q4
239,2019,Q4,MT,DEADOUT,7000,2019 Q4
238,2019,Q4,MT,CCD,1100,2019 Q4
299,2019,Q4,ND,DEADOUT,27000,2019 Q4
396,2019,Q4,UT,CCD,2000,2019 Q4
386,2019,Q4,TX,CCD,1300,2019 Q4
387,2019,Q4,TX,DEADOUT,17500,2019 Q4
308,2019,Q4,OH,CCD,980,2019 Q4
229,2019,Q4,MO,DEADOUT,1500,2019 Q4
228,2019,Q4,MO,CCD,170,2019 Q4
309,2019,Q4,OH,DEADOUT,2700,2019 Q4
318,2019,Q4,OK,CCD,160,2019 Q4
248,2019,Q4,NE,CCD,570,2019 Q4
446,2019,Q4,WI,CCD,2900,2019 Q4
447,2019,Q4,WI,DEADOUT,8500,2019 Q4
347,2019,Q4,PA,DEADOUT,3800,2019 Q4
279,2019,Q4,NY,DEADOUT,10000,2019 Q4
278,2019,Q4,NY,CCD,960,2019 Q4
436,2019,Q4,WV,CCD,870,2019 Q4
437,2019,Q4,WV,DEADOUT,1500,2019 Q4
288,2019,Q4,NC,CCD,360,2019 Q4
289,2019,Q4,NC,DEADOUT,3200,2019 Q4
269,2019,Q4,NM,DEADOUT,70,2019 Q4
329,2019,Q4,OR,DEADOUT,15000,2019 Q4
356,2019,Q4,SC,CCD,100,2019 Q4
357,2019,Q4,SC,DEADOUT,1900,2019 Q4
407,2019,Q4,VT,DEADOUT,190,2019 Q4
328,2019,Q4,OR,CCD,2600,2019 Q4
406,2019,Q4,VT,CCD,0,2019 Q4
416,2019,Q4,VA,CCD,210,2019 Q4
259,2019,Q4,NJ,DEADOUT,220,2019 Q4
258,2019,Q4,NJ,CCD,60,2019 Q4
417,2019,Q4,VA,DEADOUT,1200,2019 Q4
366,2019,Q4,SD,CCD,1300,2019 Q4
367,2019,Q4,SD,DEADOUT,7500,2019 Q4
298,2019,Q4,ND,CCD,1900,2019 Q4
249,2019,Q4,NE,DEADOUT,2700,2019 Q4
268,2019,Q4,NM,CCD,10,2019 Q4
457,2019,Q4,WY,DEADOUT,3300,2019 Q4
68,2019,Q4,FL,CCD,10000,2019 Q4
49,2019,Q4,CO,DEADOUT,8000,2019 Q4
188,2019,Q4,MA,CCD,410,2019 Q4
58,2019,Q4,CT,CCD,10,2019 Q4
59,2019,Q4,CT,DEADOUT,300,2019 Q4
179,2019,Q4,MD,DEADOUT,1100,2019 Q4
178,2019,Q4,MD,CCD,260,2019 Q4
69,2019,Q4,FL,DEADOUT,30000,2019 Q4
169,2019,Q4,ME,DEADOUT,770,2019 Q4
78,2019,Q4,GA,CCD,11000,2019 Q4
79,2019,Q4,GA,DEADOUT,20000,2019 Q4
168,2019,Q4,ME,CCD,100,2019 Q4
88,2019,Q4,HI,CCD,60,2019 Q4
159,2019,Q4,LA,DEADOUT,2300,2019 Q4
89,2019,Q4,HI,DEADOUT,1300,2019 Q4
158,2019,Q4,LA,CCD,810,2019 Q4
98,2019,Q4,ID,CCD,3300,2019 Q4
99,2019,Q4,ID,DEADOUT,15500,2019 Q4
149,2019,Q4,KY,DEADOUT,410,2019 Q4
108,2019,Q4,IL,CCD,380,2019 Q4
148,2019,Q4,KY,CCD,110,2019 Q4
109,2019,Q4,IL,DEADOUT,1700,2019 Q4
456,2019,Q4,WY,CCD,1500,2019 Q4
139,2019,Q4,KS,DEADOUT,650,2019 Q4
118,2019,Q4,IN,CCD,370,2019 Q4
119,2019,Q4,IN,DEADOUT,1300,2019 Q4
138,2019,Q4,KS,CCD,130,2019 Q4
128,2019,Q4,IA,CCD,1600,2019 Q4
189,2019,Q4,MA,DEADOUT,1200,2019 Q4
48,2019,Q4,CO,CCD,1400,2019 Q4
129,2019,Q4,IA,DEADOUT,7500,2019 Q4
209,2019,Q4,MN,DEADOUT,15500,2019 Q4
208,2019,Q4,MN,CCD,1300,2019 Q4
18,2019,Q4,AZ,CCD,3400,2019 Q4
9,2019,Q4,AL,DEADOUT,660,2019 Q4
199,2019,Q4,MI,DEADOUT,6500,2019 Q4
219,2019,Q4,MS,DEADOUT,3400,2019 Q4
218,2019,Q4,MS,CCD,470,2019 Q4
38,2019,Q4,CA,CCD,18500,2019 Q4
29,2019,Q4,AR,DEADOUT,1600,2019 Q4
8,2019,Q4,AL,CCD,110,2019 Q4
19,2019,Q4,AZ,DEADOUT,7000,2019 Q4
39,2019,Q4,CA,DEADOUT,136000,2019 Q4
198,2019,Q4,MI,CCD,2600,2019 Q4
28,2019,Q4,AR,CCD,560,2019 Q4
359,2020,Q1,SD,DEADOUT,1200,2020 Q1
438,2020,Q1,WI,CCD,1600,2020 Q1
439,2020,Q1,WI,DEADOUT,1500,2020 Q1
91,2020,Q1,ID,DEADOUT,18500,2020 Q1
100,2020,Q1,IL,CCD,520,2020 Q1
101,2020,Q1,IL,DEADOUT,2100,2020 Q1
358,2020,Q1,SD,CCD,1100,2020 Q1
41,2020,Q1,CO,DEADOUT,650,2020 Q1
11,2020,Q1,AZ,DEADOUT,6500,2020 Q1
90,2020,Q1,ID,CCD,5500,2020 Q1
10,2020,Q1,AZ,CCD,4300,2020 Q1
110,2020,Q1,IN,CCD,210,2020 Q1
448,2020,Q1,WY,CCD,1500,2020 Q1
339,2020,Q1,PA,DEADOUT,1000,2020 Q1
338,2020,Q1,PA,CCD,430,2020 Q1
449,2020,Q1,WY,DEADOUT,140,2020 Q1
120,2020,Q1,IA,CCD,620,2020 Q1
121,2020,Q1,IA,DEADOUT,1600,2020 Q1
1,2020,Q1,AL,DEADOUT,410,2020 Q1
349,2020,Q1,SC,DEADOUT,800,2020 Q1
348,2020,Q1,SC,CCD,160,2020 Q1
21,2020,Q1,AR,DEADOUT,1200,2020 Q1
20,2020,Q1,AR,CCD,390,2020 Q1
409,2020,Q1,VA,DEADOUT,1100,2020 Q1
408,2020,Q1,VA,CCD,370,2020 Q1
418,2020,Q1,WA,CCD,6500,2020 Q1
50,2020,Q1,CT,CCD,10,2020 Q1
51,2020,Q1,CT,DEADOUT,330,2020 Q1
419,2020,Q1,WA,DEADOUT,1500,2020 Q1
399,2020,Q1,VT,DEADOUT,520,2020 Q1
398,2020,Q1,VT,CCD,60,2020 Q1
31,2020,Q1,CA,DEADOUT,230000,2020 Q1
60,2020,Q1,FL,CCD,11500,2020 Q1
61,2020,Q1,FL,DEADOUT,30000,2020 Q1
321,2020,Q1,OR,DEADOUT,4800,2020 Q1
389,2020,Q1,UT,DEADOUT,400,2020 Q1
30,2020,Q1,CA,CCD,19000,2020 Q1
388,2020,Q1,UT,CCD,960,2020 Q1
70,2020,Q1,GA,CCD,8500,2020 Q1
71,2020,Q1,GA,DEADOUT,14500,2020 Q1
428,2020,Q1,WV,CCD,200,2020 Q1
379,2020,Q1,TX,DEADOUT,35000,2020 Q1
378,2020,Q1,TX,CCD,4200,2020 Q1
429,2020,Q1,WV,DEADOUT,1100,2020 Q1
80,2020,Q1,HI,CCD,260,2020 Q1
81,2020,Q1,HI,DEADOUT,1500,2020 Q1
40,2020,Q1,CO,CCD,620,2020 Q1
369,2020,Q1,TN,DEADOUT,1500,2020 Q1
368,2020,Q1,TN,CCD,410,2020 Q1
111,2020,Q1,IN,DEADOUT,1600,2020 Q1
0,2020,Q1,AL,CCD,70,2020 Q1
130,2020,Q1,KS,CCD,700,2020 Q1
250,2020,Q1,NJ,CCD,60,2020 Q1
240,2020,Q1,NE,CCD,1500,2020 Q1
301,2020,Q1,OH,DEADOUT,5500,2020 Q1
300,2020,Q1,OH,CCD,3900,2020 Q1
150,2020,Q1,LA,CCD,640,2020 Q1
151,2020,Q1,LA,DEADOUT,4800,2020 Q1
241,2020,Q1,NE,DEADOUT,670,2020 Q1
171,2020,Q1,MD,DEADOUT,640,2020 Q1
211,2020,Q1,MS,DEADOUT,5000,2020 Q1
170,2020,Q1,MD,CCD,380,2020 Q1
291,2020,Q1,ND,DEADOUT,4500,2020 Q1
290,2020,Q1,ND,CCD,11500,2020 Q1
160,2020,Q1,ME,CCD,60,2020 Q1
201,2020,Q1,MN,DEADOUT,1000,2020 Q1
161,2020,Q1,ME,DEADOUT,130,2020 Q1
200,2020,Q1,MN,CCD,6500,2020 Q1
251,2020,Q1,NJ,DEADOUT,250,2020 Q1
281,2020,Q1,NC,DEADOUT,2200,2020 Q1
280,2020,Q1,NC,CCD,1900,2020 Q1
191,2020,Q1,MI,DEADOUT,6000,2020 Q1
210,2020,Q1,MS,CCD,800,2020 Q1
261,2020,Q1,NM,DEADOUT,40,2020 Q1
220,2020,Q1,MO,CCD,160,2020 Q1
230,2020,Q1,MT,CCD,4500,2020 Q1
221,2020,Q1,MO,DEADOUT,2100,2020 Q1
260,2020,Q1,NM,CCD,0,2020 Q1
311,2020,Q1,OK,DEADOUT,700,2020 Q1
231,2020,Q1,MT,DEADOUT,150,2020 Q1
131,2020,Q1,KS,DEADOUT,750,2020 Q1
180,2020,Q1,MA,CCD,150,2020 Q1
181,2020,Q1,MA,DEADOUT,350,2020 Q1
310,2020,Q1,OK,CCD,60,2020 Q1
271,2020,Q1,NY,DEADOUT,3700,2020 Q1
190,2020,Q1,MI,CCD,1400,2020 Q1
140,2020,Q1,KY,CCD,140,2020 Q1
141,2020,Q1,KY,DEADOUT,1200,2020 Q1
320,2020,Q1,OR,CCD,950,2020 Q1
270,2020,Q1,NY,CCD,940,2020 Q1
262,2020,Q2,NM,CCD,0,2020 Q2
43,2020,Q2,CO,DEADOUT,2100,2020 Q2
193,2020,Q2,MI,DEADOUT,2600,2020 Q2
253,2020,Q2,NJ,DEADOUT,760,2020 Q2
411,2020,Q2,VA,DEADOUT,1200,2020 Q2
192,2020,Q2,MI,CCD,420,2020 Q2
42,2020,Q2,CO,CCD,310,2020 Q2
410,2020,Q2,VA,CCD,170,2020 Q2
252,2020,Q2,NJ,CCD,10,2020 Q2
420,2020,Q2,WA,CCD,370,2020 Q2
203,2020,Q2,MN,DEADOUT,6500,2020 Q2
33,2020,Q2,CA,DEADOUT,74000,2020 Q2
222,2020,Q2,MO,CCD,200,2020 Q2
2,2020,Q2,AL,CCD,410,2020 Q2
3,2020,Q2,AL,DEADOUT,4100,2020 Q2
451,2020,Q2,WY,DEADOUT,1600,2020 Q2
450,2020,Q2,WY,CCD,500,2020 Q2
232,2020,Q2,MT,CCD,1500,2020 Q2
233,2020,Q2,MT,DEADOUT,3800,2020 Q2
12,2020,Q2,AZ,CCD,170,2020 Q2
13,2020,Q2,AZ,DEADOUT,1300,2020 Q2
213,2020,Q2,MS,DEADOUT,3000,2020 Q2
421,2020,Q2,WA,DEADOUT,3100,2020 Q2
441,2020,Q2,WI,DEADOUT,1700,2020 Q2
212,2020,Q2,MS,CCD,260,2020 Q2
22,2020,Q2,AR,CCD,900,2020 Q2
23,2020,Q2,AR,DEADOUT,1900,2020 Q2
242,2020,Q2,NE,CCD,700,2020 Q2
431,2020,Q2,WV,DEADOUT,570,2020 Q2
430,2020,Q2,WV,CCD,130,2020 Q2
243,2020,Q2,NE,DEADOUT,1800,2020 Q2
263,2020,Q2,NM,DEADOUT,50,2020 Q2
202,2020,Q2,MN,CCD,870,2020 Q2
32,2020,Q2,CA,CCD,3200,2020 Q2
440,2020,Q2,WI,CCD,90,2020 Q2
52,2020,Q2,CT,CCD,0,2020 Q2
63,2020,Q2,FL,DEADOUT,39000,2020 Q2
183,2020,Q2,MA,DEADOUT,740,2020 Q2
361,2020,Q2,SD,DEADOUT,4600,2020 Q2
360,2020,Q2,SD,CCD,2800,2020 Q2
152,2020,Q2,LA,CCD,650,2020 Q2
102,2020,Q2,IL,CCD,190,2020 Q2
103,2020,Q2,IL,DEADOUT,1500,2020 Q2
302,2020,Q2,OH,CCD,130,2020 Q2
351,2020,Q2,SC,DEADOUT,1700,2020 Q2
350,2020,Q2,SC,CCD,310,2020 Q2
303,2020,Q2,OH,DEADOUT,1700,2020 Q2
143,2020,Q2,KY,DEADOUT,1200,2020 Q2
142,2020,Q2,KY,CCD,120,2020 Q2
112,2020,Q2,IN,CCD,30,2020 Q2
113,2020,Q2,IN,DEADOUT,920,2020 Q2
341,2020,Q2,PA,DEADOUT,1000,2020 Q2
340,2020,Q2,PA,CCD,140,2020 Q2
312,2020,Q2,OK,CCD,40,2020 Q2
313,2020,Q2,OK,DEADOUT,1500,2020 Q2
133,2020,Q2,KS,DEADOUT,440,2020 Q2
132,2020,Q2,KS,CCD,270,2020 Q2
122,2020,Q2,IA,CCD,440,2020 Q2
123,2020,Q2,IA,DEADOUT,3600,2020 Q2
323,2020,Q2,OR,DEADOUT,2500,2020 Q2
322,2020,Q2,OR,CCD,1500,2020 Q2
153,2020,Q2,LA,DEADOUT,1800,2020 Q2
53,2020,Q2,CT,DEADOUT,30,2020 Q2
93,2020,Q2,ID,DEADOUT,14500,2020 Q2
293,2020,Q2,ND,DEADOUT,17500,2020 Q2
401,2020,Q2,VT,DEADOUT,260,2020 Q2
400,2020,Q2,VT,CCD,0,2020 Q2
182,2020,Q2,MA,CCD,50,2020 Q2
62,2020,Q2,FL,CCD,19500,2020 Q2
272,2020,Q2,NY,CCD,20,2020 Q2
391,2020,Q2,UT,DEADOUT,2700,2020 Q2
390,2020,Q2,UT,CCD,130,2020 Q2
273,2020,Q2,NY,DEADOUT,4900,2020 Q2
173,2020,Q2,MD,DEADOUT,680,2020 Q2
172,2020,Q2,MD,CCD,0,2020 Q2
72,2020,Q2,GA,CCD,3300,2020 Q2
73,2020,Q2,GA,DEADOUT,10000,2020 Q2
381,2020,Q2,TX,DEADOUT,25000,2020 Q2
380,2020,Q2,TX,CCD,4100,2020 Q2
282,2020,Q2,NC,CCD,290,2020 Q2
283,2020,Q2,NC,DEADOUT,1600,2020 Q2
163,2020,Q2,ME,DEADOUT,1300,2020 Q2
162,2020,Q2,ME,CCD,0,2020 Q2
82,2020,Q2,HI,CCD,0,2020 Q2
83,2020,Q2,HI,DEADOUT,40,2020 Q2
371,2020,Q2,TN,DEADOUT,1200,2020 Q2
370,2020,Q2,TN,CCD,210,2020 Q2
292,2020,Q2,ND,CCD,9000,2020 Q2
92,2020,Q2,ID,CCD,2400,2020 Q2
223,2020,Q2,MO,DEADOUT,390,2020 Q2
