Program,Year,Period,Week Ending,Geo Level,State,State Abbr,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,JAN THRU MAR,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,70,
SURVEY,2020,JAN THRU MAR,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,410,
SURVEY,2020,APR THRU JUN,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,410,
SURVEY,2020,APR THRU JUN,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"4,100",
SURVEY,2019,JAN THRU MAR,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,140,
SURVEY,2019,JAN THRU MAR,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,650,
SURVEY,2019,JUL THRU SEP,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,180,
SURVEY,2019,JUL THRU SEP,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,990,
SURVEY,2019,OCT THRU DEC,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,110,
SURVEY,2019,OCT THRU DEC,,STATE,ALABAMA,AL,1,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,660,
SURVEY,2020,JAN THRU MAR,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"4,300",
SURVEY,2020,JAN THRU MAR,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"6,500",
SURVEY,2020,APR THRU JUN,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,170,
SURVEY,2020,APR THRU JUN,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,300",
SURVEY,2019,JAN THRU MAR,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,500",
SURVEY,2019,JAN THRU MAR,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"2,500",
SURVEY,2019,JUL THRU SEP,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,770,
SURVEY,2019,JUL THRU SEP,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"2,000",
SURVEY,2019,OCT THRU DEC,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"3,400",
SURVEY,2019,OCT THRU DEC,,STATE,ARIZONA,AZ,4,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"7,000",
SURVEY,2020,JAN THRU MAR,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,390,
SURVEY,2020,JAN THRU MAR,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,200",
SURVEY,2020,APR THRU JUN,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,900,
SURVEY,2020,APR THRU JUN,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,900",
SURVEY,2019,JAN THRU MAR,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,320,
SURVEY,2019,JAN THRU MAR,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"6,500",
SURVEY,2019,JUL THRU SEP,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,990,
SURVEY,2019,JUL THRU SEP,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"2,100",
SURVEY,2019,OCT THRU DEC,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,560,
SURVEY,2019,OCT THRU DEC,,STATE,ARKANSAS,AR,5,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,600",
SURVEY,2020,JAN THRU MAR,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"19,000",
SURVEY,2020,JAN THRU MAR,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"230,000",
SURVEY,2020,APR THRU JUN,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"3,200",
SURVEY,2020,APR THRU JUN,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"74,000",
SURVEY,2019,JAN THRU MAR,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"14,000",
SURVEY,2019,JAN THRU MAR,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"235,000",
SURVEY,2019,JUL THRU SEP,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"12,000",
SURVEY,2019,JUL THRU SEP,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"93,000",
SURVEY,2019,OCT THRU DEC,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"18,500",
SURVEY,2019,OCT THRU DEC,,STATE,CALIFORNIA,CA,6,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"136,000",
SURVEY,2020,JAN THRU MAR,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,620,
SURVEY,2020,JAN THRU MAR,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,650,
SURVEY,2020,APR THRU JUN,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,310,
SURVEY,2020,APR THRU JUN,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"2,100",
SURVEY,2019,JAN THRU MAR,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,500",
SURVEY,2019,JAN THRU MAR,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,320,
SURVEY,2019,JUL THRU SEP,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,700",
SURVEY,2019,JUL THRU SEP,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"9,500",
SURVEY,2019,OCT THRU DEC,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,400",
SURVEY,2019,OCT THRU DEC,,STATE,COLORADO,CO,8,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"8,000",
SURVEY,2020,JAN THRU MAR,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,10,
SURVEY,2020,JAN THRU MAR,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,330,
SURVEY,2020,APR THRU JUN,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,0,
SURVEY,2020,APR THRU JUN,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,30,
SURVEY,2019,JAN THRU MAR,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,90,
SURVEY,2019,JAN THRU MAR,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,270,
SURVEY,2019,JUL THRU SEP,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,20,
SURVEY,2019,JUL THRU SEP,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,200,
SURVEY,2019,OCT THRU DEC,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,10,
SURVEY,2019,OCT THRU DEC,,STATE,CONNECTICUT,CT,9,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,300,
SURVEY,2020,JAN THRU MAR,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"11,500",
SURVEY,2020,JAN THRU MAR,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"30,000",
SURVEY,2020,APR THRU JUN,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"19,500",
SURVEY,2020,APR THRU JUN,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"39,000",
SURVEY,2019,JAN THRU MAR,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"3,900",
SURVEY,2019,JAN THRU MAR,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"46,000",
SURVEY,2019,JUL THRU SEP,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"6,000",
SURVEY,2019,JUL THRU SEP,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"20,000",
SURVEY,2019,OCT THRU DEC,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"10,000",
SURVEY,2019,OCT THRU DEC,,STATE,FLORIDA,FL,12,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"30,000",
SURVEY,2020,JAN THRU MAR,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"8,500",
SURVEY,2020,JAN THRU MAR,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"14,500",
SURVEY,2020,APR THRU JUN,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"3,300",
SURVEY,2020,APR THRU JUN,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"10,000",
SURVEY,2019,JAN THRU MAR,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"2,300",
SURVEY,2019,JAN THRU MAR,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"14,500",
SURVEY,2019,JUL THRU SEP,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"8,500",
SURVEY,2019,JUL THRU SEP,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"13,000",
SURVEY,2019,OCT THRU DEC,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"11,000",
SURVEY,2019,OCT THRU DEC,,STATE,GEORGIA,GA,13,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"20,000",
SURVEY,2020,JAN THRU MAR,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,260,
SURVEY,2020,JAN THRU MAR,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,500",
SURVEY,2020,APR THRU JUN,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,0,
SURVEY,2020,APR THRU JUN,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,40,
SURVEY,2019,JAN THRU MAR,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,80,
SURVEY,2019,JAN THRU MAR,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,390,
SURVEY,2019,JUL THRU SEP,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,0,
SURVEY,2019,JUL THRU SEP,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,200,
SURVEY,2019,OCT THRU DEC,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,60,
SURVEY,2019,OCT THRU DEC,,STATE,HAWAII,HI,15,,,,,,,0,,HONEY,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,300",
